628	2	
3.7096457440014951601e-01	-2.9345510735291419763e-02	0.0000000000000000000e+00	
3.6896602854851584530e-01	-2.9418643934573902171e-02	0.0000000000000000000e+00	
3.6696826181106706466e-01	-2.9490914534569125094e-02	0.0000000000000000000e+00	
3.6497132434214485386e-01	-2.9562315063836209356e-02	0.0000000000000000000e+00	
3.6297526627527165743e-01	-2.9632838068474044030e-02	0.0000000000000000000e+00	
3.6098013772189269099e-01	-2.9702476113045619965e-02	0.0000000000000000000e+00	
3.5898598877011711483e-01	-2.9771221781511564286e-02	0.0000000000000000000e+00	
3.5699286948346131698e-01	-2.9839067678172327691e-02	0.0000000000000000000e+00	
3.5500082989959169666e-01	-2.9906006428619204968e-02	0.0000000000000000000e+00	
3.5300992002906839140e-01	-2.9972030680693675236e-02	0.0000000000000000000e+00	
3.5102018985408983687e-01	-3.0037133105454749682e-02	0.0000000000000000000e+00	
3.4903168932723804829e-01	-3.0101306398154371868e-02	0.0000000000000000000e+00	
