628	2	
5.612248e-01	-3.237660e-02	0.000000e+00	
5.587376e-01	-3.250267e-02	0.000000e+00	
5.562490e-01	-3.262803e-02	0.000000e+00	
5.537589e-01	-3.275267e-02	0.000000e+00	
5.512675e-01	-3.287658e-02	0.000000e+00	
5.487748e-01	-3.299976e-02	0.000000e+00	
5.462809e-01	-3.312220e-02	0.000000e+00	
5.437858e-01	-3.324387e-02	0.000000e+00	
5.412897e-01	-3.336479e-02	0.000000e+00	
5.387925e-01	-3.348493e-02	0.000000e+00	
5.362943e-01	-3.360428e-02	0.000000e+00	
5.337952e-01	-3.372285e-02	0.000000e+00	
5.312952e-01	-3.384061e-02	0.000000e+00	
5.287945e-01	-3.395755e-02	0.000000e+00	
5.262931e-01	-3.407368e-02	0.000000e+00	
5.237910e-01	-3.418898e-02	0.000000e+00	
5.212883e-01	-3.430343e-02	0.000000e+00	
5.187850e-01	-3.441704e-02	0.000000e+00	
5.162813e-01	-3.452978e-02	0.000000e+00	
5.137772e-01	-3.464166e-02	0.000000e+00	
5.112727e-01	-3.475265e-02	0.000000e+00	
5.087680e-01	-3.486276e-02	0.000000e+00	
5.062630e-01	-3.497197e-02	0.000000e+00	
5.037579e-01	-3.508027e-02	0.000000e+00	
5.012526e-01	-3.518766e-02	0.000000e+00	
4.987474e-01	-3.529411e-02	0.000000e+00	
4.962421e-01	-3.539964e-02	0.000000e+00	
4.937370e-01	-3.550421e-02	0.000000e+00	
4.912320e-01	-3.560783e-02	0.000000e+00	
4.887273e-01	-3.571049e-02	0.000000e+00	
4.862228e-01	-3.581217e-02	0.000000e+00	
4.837187e-01	-3.591287e-02	0.000000e+00	
4.812150e-01	-3.601257e-02	0.000000e+00	
4.787117e-01	-3.611127e-02	0.000000e+00	
4.762090e-01	-3.620896e-02	0.000000e+00	
4.737069e-01	-3.630563e-02	0.000000e+00	
4.712055e-01	-3.640126e-02	0.000000e+00	
4.687048e-01	-3.649586e-02	0.000000e+00	
4.662048e-01	-3.658940e-02	0.000000e+00	
4.637057e-01	-3.668189e-02	0.000000e+00	
4.612075e-01	-3.677330e-02	0.000000e+00	
4.587103e-01	-3.686364e-02	0.000000e+00	
4.562142e-01	-3.695289e-02	0.000000e+00	
4.537191e-01	-3.704105e-02	0.000000e+00	
4.512252e-01	-3.712810e-02	0.000000e+00	
4.487325e-01	-3.721403e-02	0.000000e+00	
4.462411e-01	-3.729883e-02	0.000000e+00	
4.437510e-01	-3.738251e-02	0.000000e+00	
4.412624e-01	-3.746504e-02	0.000000e+00	
4.387752e-01	-3.754642e-02	0.000000e+00	
4.362896e-01	-3.762663e-02	0.000000e+00	
4.338056e-01	-3.770568e-02	0.000000e+00	
4.313232e-01	-3.778355e-02	0.000000e+00	
4.288426e-01	-3.786022e-02	0.000000e+00	
4.263637e-01	-3.793570e-02	0.000000e+00	
